epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.379,2.28958,2.7952,1.7704,0.00178,0.05123,0.00096,0.00029,3.53289,3.81918,3.13702,0.00032,0.00032,0.00032
2,463.945,1.50251,1.24763,1.18116,0.00163,0.04696,0.00085,0.00026,3.66308,3.93828,3.10744,0.0006303,0.0006303,0.0006303
3,705.984,1.30415,0.99367,1.06936,0.82933,0.08816,0.19713,0.1137,2.21201,3.07283,1.88816,0.00091,0.00091,0.00091
4,930.28,1.21631,0.87261,1.03292,0.86341,0.71398,0.81586,0.51298,1.33816,1.42891,1.14148,0.0011591,0.0011591,0.0011591
5,1157.79,1.18501,0.81853,1.01402,0.83676,0.82604,0.89967,0.60435,1.18957,1.06563,1.04914,0.0013776,0.0013776,0.0013776
6,1402.94,1.15281,0.81473,1.00834,0.83574,0.91766,0.93757,0.64924,1.12008,0.78362,1.00208,0.00155,0.00155,0.00155
7,1630.76,1.12249,0.76838,0.99693,0.85475,0.88047,0.93931,0.65587,1.10515,0.74655,0.987,0.00146,0.00146,0.00146
8,1877.97,1.12505,0.75335,0.99479,0.87227,0.89328,0.94628,0.66802,1.0701,0.73717,0.98321,0.00137,0.00137,0.00137
9,2108.58,1.0955,0.71204,0.98616,0.87778,0.90445,0.9574,0.67282,1.09038,0.74175,0.98528,0.00128,0.00128,0.00128
10,2332.78,1.084,0.68422,0.98467,0.87349,0.91372,0.94946,0.67457,1.05286,0.77692,0.97765,0.00119,0.00119,0.00119
11,2564.08,1.06117,0.70646,0.97616,0.9038,0.92242,0.96854,0.68801,1.04946,0.64186,0.97018,0.0011,0.0011,0.0011
12,2791.4,1.04819,0.64622,0.97234,0.86934,0.90288,0.94552,0.66932,1.05738,0.79124,0.9779,0.00101,0.00101,0.00101
13,3029.68,1.051,0.64022,0.97302,0.88941,0.90985,0.95408,0.6663,1.10513,0.72421,0.99125,0.00092,0.00092,0.00092
14,3264.84,1.02695,0.62148,0.96469,0.8646,0.91355,0.95065,0.66762,1.06055,0.71539,0.98052,0.00083,0.00083,0.00083
15,3495.8,1.00918,0.59227,0.96261,0.89044,0.92811,0.96315,0.67879,1.08034,0.63781,0.98113,0.00074,0.00074,0.00074
16,3732.92,1.00836,0.5909,0.95812,0.87028,0.93063,0.94369,0.66228,1.06873,0.65775,0.97499,0.00065,0.00065,0.00065
17,3976.92,1.01581,0.58216,0.9523,0.89871,0.91854,0.96869,0.69679,1.03257,0.60092,0.96694,0.00056,0.00056,0.00056
18,4215.51,0.98851,0.56917,0.95068,0.9123,0.88818,0.96471,0.70687,1.00765,0.5724,0.96142,0.00047,0.00047,0.00047
19,4450.4,0.9718,0.55311,0.94967,0.90371,0.92151,0.96721,0.70653,1.00642,0.5608,0.95665,0.00038,0.00038,0.00038
20,4673.91,0.96338,0.54399,0.94116,0.89361,0.92529,0.96524,0.70316,1.00872,0.55736,0.95707,0.00029,0.00029,0.00029
